11258 | 3.29 | 51.00 | 168.00
11361 | 3.29 | 51.50 | 170.00
11464 | 3.28 | 70.50 | 232.00
11567 | 3.28 | 70.90 | 230.00
11670 | 3.28 | 71.00 | 236.00
11773 | 3.28 | 70.60 | 232.00
11876 | 3.28 | 70.20 | 232.00
11979 | 3.28 | 71.30 | 232.00
12082 | 3.28 | 70.90 | 232.00
12185 | 3.28 | 70.80 | 232.00
12288 | 3.28 | 73.10 | 240.00
12391 | 3.28 | 73.40 | 242.00
12494 | 3.28 | 71.10 | 230.00
12597 | 3.28 | 71.60 | 236.00
12700 | 3.28 | 149.90 | 488.00
12803 | 3.28 | 147.30 | 482.00
12906 | 3.28 | 148.10 | 484.00
13009 | 3.26 | 147.70 | 482.00
13112 | 3.26 | 149.80 | 484.00
13215 | 3.27 | 148.20 | 484.00
13318 | 3.26 | 149.30 | 488.00
13421 | 3.26 | 148.80 | 468.00
13524 | 3.26 | 143.30 | 468.00
13627 | 3.26 | 147.80 | 482.00
13730 | 3.27 | 143.20 | 468.00
13833 | 3.26 | 144.60 | 476.00
13936 | 3.28 | 71.90 | 236.00
14039 | 3.26 | 145.80 | 476.00
14142 | 3.27 | 71.10 | 232.00
14245 | 3.29 | 70.50 | 232.00
14348 | 3.28 | 70.60 | 232.00
14451 | 3.28 | 73.00 | 240.00
14554 | 3.28 | 71.70 | 236.00
14657 | 3.28 | 73.10 | 240.00
14760 | 3.28 | 72.00 | 236.00
14863 | 3.28 | 72.60 | 240.00
14966 | 3.28 | 70.90 | 232.00
15069 | 3.28 | 70.20 | 236.00
15172 | 3.28 | 70.70 | 232.00
15275 | 3.28 | 70.90 | 232.00
15378 | 3.28 | 71.20 | 232.00
15481 | 3.28 | 70.70 | 232.00
15584 | 3.28 | 70.90 | 232.00
15687 | 3.28 | 70.00 | 230.00
15790 | 3.28 | 72.20 | 236.00
15893 | 3.28 | 70.20 | 230.00
15996 | 3.28 | 70.30 | 232.00
16099 | 3.28 | 72.70 | 240.00
16202 | 3.28 | 70.40 | 232.00
16305 | 3.28 | 70.10 | 232.00
16408 | 3.27 | 126.70 | 416.00
16511 | 3.29 | 55.20 | 180.00
16614 | 3.29 | 53.00 | 174.00
16717 | 3.29 | 52.90 | 174.00
16820 | 3.29 | 52.20 | 168.00
16923 | 3.29 | 51.00 | 168.00
17026 | 3.29 | 50.90 | 168.00
17129 | 3.29 | 50.90 | 170.00
17232 | 3.29 | 51.80 | 170.00
17335 | 3.29 | 51.90 | 170.00
17438 | 3.28 | 71.00 | 236.00
17541 | 3.28 | 70.80 | 232.00
17644 | 3.29 | 70.20 | 230.00
17747 | 3.28 | 70.20 | 232.00
17850 | 3.28 | 71.70 | 236.00
17953 | 3.28 | 70.60 | 232.00
18056 | 3.28 | 71.40 | 236.00
18159 | 3.28 | 71.70 | 236.00
18262 | 3.28 | 70.30 | 230.00
18365 | 3.28 | 70.70 | 232.00
18468 | 3.28 | 72.20 | 236.00
18571 | 3.28 | 70.40 | 230.00
18674 | 3.28 | 70.80 | 232.00
18777 | 3.28 | 71.50 | 236.00
18880 | 3.28 | 70.10 | 230.00
18983 | 3.29 | 70.50 | 232.00
19086 | 3.28 | 70.40 | 230.00
19189 | 3.28 | 71.20 | 232.00
19292 | 3.28 | 70.60 | 232.00
19395 | 3.28 | 70.90 | 232.00
19498 | 3.28 | 72.90 | 232.00
19601 | 3.28 | 70.60 | 232.00
19704 | 3.28 | 70.20 | 230.00
19807 | 3.29 | 71.00 | 240.00
19910 | 3.28 | 70.30 | 232.00
20013 | 3.28 | 70.30 | 232.00
20116 | 3.28 | 71.30 | 236.00
20219 | 3.29 | 70.30 | 230.00
20322 | 3.29 | 70.20 | 230.00
20425 | 3.28 | 70.50 | 232.00
20528 | 3.28 | 71.10 | 232.00
20631 | 3.28 | 70.10 | 232.00
20734 | 3.29 | 71.20 | 232.00
20837 | 3.28 | 72.40 | 240.00
20940 | 3.28 | 70.50 | 232.00
21043 | 3.28 | 70.50 | 232.00
21146 | 3.29 | 70.50 | 232.00
21249 | 3.28 | 70.80 | 232.00
21352 | 3.28 | 70.50 | 232.00
21455 | 3.28 | 70.30 | 232.00
21558 | 3.28 | 71.90 | 232.00
21661 | 3.28 | 70.10 | 230.00
